input,output,language,instruction
"पहला एपिसोड मजबूरी में देखे थे, अब मजा आ रहा है।🤣😂😂🤣🤣",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
वाह मर्दे सारा धागा तोड़ दिए मर्दे,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Ye humari bhasa h magahi❤️,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"Sad songs,, bahut badhiya 💕💕💕",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhut aches nach h,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"बिहार का सबसे गर्बर विश्वविद्यालय बाबा साहेब बिहार विश्वविद्यालय मुजफ्फरपुर , जहां 2014 में संचालित होने वाली कोर्स अभी 2022 में भी पूरी नहीं हुई है बिहार का एक मात्र ऐसा विश्वविद्यालय जहां छात्र हाई कोर्ट जाते है इसके बाद सुप्रीम कोर्ट जाते हैं माननीय SC के आदेश भी आती हैं 2019 में की सभी M. PHIL के जो पीड़ित छात्र हैं उसकी परीक्षा अविलंब लिया जाय किंतु विश्वविद्यालय मौन पड़ी है ये है विश्वविद्यालय की उदासीनता ! 😜",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
और भाई आ गया स्वाद मगही का...विश्वजीत बहुत गर्दा  बनाये हो दूसरे भाषी के बीच मे रहके मगही सुनने को मिलता ही नही आपका वीडियो मुझे गॉव के मिट्टी से जोड़ती है ...धन्यावाद विश्वजीत भाई,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai sive,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
विश्वजीत भईया को इस लेखन के लिए 100 तोपों की सलामी!  Bromine:- Atomic no. 35 and it's weight is 79.904|,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
vah,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Khan sir ek sache Hindustani hai aur ham sab ka farj banta hai ki ek sache Hindustani ko full support kre🇮🇳jai hind.🇮🇳,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai mata diii....,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Superhit bahut Achcha,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
नेपाल बिहार का पोता है 😂 रूस गया है भैया 😂😂,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Kya baat h... Hit likes for Rohit Sharma 💥🔥🔥,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
मिथिलांचल के गौरव इसी गीत सब में मिलता है,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
थोड़ा  सा भागलपुर यूनिवर्सिटी पर भी ध्यान दे दे तो हम लोगों  का भी कल्याण हो जाए,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Isme log jativad kyu kar rahe hai 😥😫,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Vishwajit bhaiya aap bihar ratn ho ❤,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
बचपन मे पापा कैसेट लाकर ये गाना सीडी में बजाते थे आज भी याद हैं।।दूबारा गाना सुन कर यादे ताज़ा हो गयी।।।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"ये ट्रेन, सरकारी संपत्ति आपके टैक्स के पैसे के हैं , ये आपके हैं, आपकी सुविधा के लिए हैं। एक बिस्कुट का पैकेट भी आप खरीदते हैं तो उसके टैक्स के पैसे लगे हैं उसमे। ये मोदी जी के पैसे का नहीं है भाई, ये आपके पैसे का है। किसी भी सरकारी संपत्ति का नुकसान न करें, शांतिपूर्ण प्रदर्शन करें।",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"Totally agree with dis content,n proudly say Anu ur my friend , kisi v topic ko aage lana koi tum se sikhe ♥️♥️♥️♥️♥️♥️",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
